fold,test_start,test_end,sharpe,max_drawdown,win_rate,n_trades
1,2020-01-02,2020-04-01,-0.6488,0.011,0.5077,65
2,2020-03-25,2020-06-23,0.8091,0.0094,0.7143,42
3,2020-06-16,2020-09-14,-0.1481,0.0089,0.5026,191
4,2020-09-04,2020-12-03,0.6197,0.0065,0.5,106
5,2020-11-25,2021-02-26,0.7668,0.0055,0.497,169
6,2021-02-19,2021-05-19,1.0442,0.0034,0.5282,142
7,2021-05-11,2021-08-09,1.63,0.0036,0.546,174
8,2021-08-02,2021-10-28,-2.8513,0.0031,0.3721,43
9,2021-10-21,2022-01-20,-1.6363,0.0115,0.3904,146
10,2022-01-12,2022-04-12,-0.7469,0.0007,0.36,25
11,2022-04-05,2022-07-06,0.0,0.0,0.0,0
12,2022-06-28,2022-09-26,3.6486,0.002,0.7941,102
13,2022-09-19,2022-12-15,2.819,0.0,0.9375,16
14,2022-12-08,2023-03-10,2.7934,0.0042,0.6429,84
15,2023-03-03,2023-06-01,4.8147,0.0018,0.697,99
16,2023-05-24,2023-08-23,9.4198,0.0009,0.75,164
17,2023-08-15,2023-11-10,0.0,0.0,0.0,0
18,2023-11-03,2024-02-05,6.6901,0.0026,0.7286,199
19,2024-01-29,2024-04-26,8.0176,0.0011,0.7581,186
20,2024-04-19,2024-07-19,8.2905,0.0012,0.7588,199
21,2024-07-12,2024-10-09,3.4423,0.0027,0.6277,94
22,2024-10-02,2024-12-31,-1.4453,0.0109,0.4364,165
